Node,Traffic,Backbone
20,39,20
10,1,20
19,1,20
30,1,20
9,1,20
29,11,20
18,1,20
40,1,20
8,1,20
28,1,20
39,1,20
38,1,20
17,1,20
50,2,20
7,1,20
27,1,20
49,2,20
37,1,20
48,2,20
68,39,68
58,1,68
67,1,68
69,1,68
78,1,68
57,1,68
59,1,68
77,1,68
79,1,68
66,1,68
70,1,68
88,1,68
47,2,68
56,1,68
60,29,68
76,1,68
80,1,68
87,1,68
89,1,68
46,1,68
86,1,68
90,1,68
65,1,68
98,7,68
55,1,68
75,1,68
97,7,68
36,1,68
45,11,68
85,1,68
96,1,68
100,7,68
99,35,99
23,23,23
13,1,23
22,1,23
24,1,23
33,1,23
12,1,23
14,1,23
32,1,23
34,1,23
3,7,23
21,1,23
25,1,23
43,1,23
2,29,23
4,7,23
11,1,23
15,1,23
31,1,23
35,1,23
42,1,23
44,1,23
1,7,23
5,1,23
41,1,23
26,1,23
53,2,23
16,1,23
52,2,23
54,2,23
6,1,23
51,2,23
83,1,83
73,1,83
82,1,83
84,1,83
93,1,83
72,1,83
74,1,83
92,1,83
94,1,83
63,1,83
81,1,83
62,1,83
64,1,83
71,1,83
91,1,83
95,1,83
61,1,83
